rule active prio match action
R0 false 100 src=1000 drop()
R1 false 50 src=1000,dst=100 add(R0),drop()
R2 false 50 src=1000,dst=200 add(R1),send()
R3 true 40 dst=1000,port=2222 add(R2),send()
R4 false 100 src=1001 drop()
R5 false 50 src=1001,dst=100 add(R4),drop()
R6 false 50 src=1001,dst=200 add(R5),send()
R7 true 40 dst=1001,port=2222 add(R6),send()
R8 false 100 src=1002 drop()
R9 false 50 src=1002,dst=100 add(R8),drop()
R10 false 50 src=1002,dst=200 add(R9),send()
R11 true 40 dst=1002,port=2222 add(R10),send()
R12 false 100 src=1003 drop()
R13 false 50 src=1003,dst=100 add(R12),drop()
R14 false 50 src=1003,dst=200 add(R13),send()
R15 true 40 dst=1003,port=2222 add(R14),send()
R16 false 100 src=1004 drop()
R17 false 50 src=1004,dst=100 add(R16),drop()
R18 false 50 src=1004,dst=200 add(R17),send()
R19 true 40 dst=1004,port=2222 add(R18),send()
R20 false 100 src=1005 drop()
R21 false 50 src=1005,dst=100 add(R20),drop()
R22 false 50 src=1005,dst=200 add(R21),send()
R23 true 40 dst=1005,port=2222 add(R22),send()
R24 false 100 src=1006 drop()
R25 false 50 src=1006,dst=100 add(R24),drop()
R26 false 50 src=1006,dst=200 add(R25),send()
R27 true 40 dst=1006,port=2222 add(R26),send()
R28 false 100 src=1007 drop()
R29 false 50 src=1007,dst=100 add(R28),drop()
R30 false 50 src=1007,dst=200 add(R29),send()
R31 true 40 dst=1007,port=2222 add(R30),send()
R32 false 100 src=1008 drop()
R33 false 50 src=1008,dst=100 add(R32),drop()
R34 false 50 src=1008,dst=200 add(R33),send()
R35 true 40 dst=1008,port=2222 add(R34),send()
R36 false 100 src=1009 drop()
R37 false 50 src=1009,dst=100 add(R36),drop()
R38 false 50 src=1009,dst=200 add(R37),send()
R39 true 40 dst=1009,port=2222 add(R38),send()
R40 false 100 src=1010 drop()
R41 false 50 src=1010,dst=100 add(R40),drop()
R42 false 50 src=1010,dst=200 add(R41),send()
R43 true 40 dst=1010,port=2222 add(R42),send()
R44 false 100 src=1011 drop()
R45 false 50 src=1011,dst=100 add(R44),drop()
R46 false 50 src=1011,dst=200 add(R45),send()
R47 true 40 dst=1011,port=2222 add(R46),send()
R48 true 1 * send()
