rule active prio match action
R0 true 100 src=1000,dst=100 delete(R0),delete(R1),delete(R3),send(IDPS)
R1 true 100 src=100,dst=1000 delete(R0),delete(R1),delete(R4),drop()
R2 true 100 src=1000,dst=100 send(IDPS)
R3 true 100 src=100,dst=1000 drop()
R4 true 100 src=100,dst=1000 send(IDPS)
R5 true 100 src=1001,dst=100 delete(R5),delete(R6),delete(R8),send(IDPS)
R6 true 100 src=100,dst=1001 delete(R5),delete(R6),delete(R9),drop()
R7 true 100 src=1001,dst=100 send(IDPS)
R8 true 100 src=100,dst=1001 drop()
R9 true 100 src=100,dst=1001 send(IDPS)
R10 true 100 src=1002,dst=100 delete(R10),delete(R11),delete(R13),send(IDPS)
R11 true 100 src=100,dst=1002 delete(R10),delete(R11),delete(R14),drop()
R12 true 100 src=1002,dst=100 send(IDPS)
R13 true 100 src=100,dst=1002 drop()
R14 true 100 src=100,dst=1002 send(IDPS)
R15 true 100 src=1003,dst=100 delete(R15),delete(R16),delete(R18),send(IDPS)
R16 true 100 src=100,dst=1003 delete(R15),delete(R16),delete(R19),drop()
R17 true 100 src=1003,dst=100 send(IDPS)
R18 true 100 src=100,dst=1003 drop()
R19 true 100 src=100,dst=1003 send(IDPS)
R20 true 100 src=1004,dst=100 delete(R20),delete(R21),delete(R23),send(IDPS)
R21 true 100 src=100,dst=1004 delete(R20),delete(R21),delete(R24),drop()
R22 true 100 src=1004,dst=100 send(IDPS)
R23 true 100 src=100,dst=1004 drop()
R24 true 100 src=100,dst=1004 send(IDPS)
R25 true 100 src=1005,dst=100 delete(R25),delete(R26),delete(R28),send(IDPS)
R26 true 100 src=100,dst=1005 delete(R25),delete(R26),delete(R29),drop()
R27 true 100 src=1005,dst=100 send(IDPS)
R28 true 100 src=100,dst=1005 drop()
R29 true 100 src=100,dst=1005 send(IDPS)
R30 true 100 src=1006,dst=100 delete(R30),delete(R31),delete(R33),send(IDPS)
R31 true 100 src=100,dst=1006 delete(R30),delete(R31),delete(R34),drop()
R32 true 100 src=1006,dst=100 send(IDPS)
R33 true 100 src=100,dst=1006 drop()
R34 true 100 src=100,dst=1006 send(IDPS)
R35 true 100 src=1007,dst=100 delete(R35),delete(R36),delete(R38),send(IDPS)
R36 true 100 src=100,dst=1007 delete(R35),delete(R36),delete(R39),drop()
R37 true 100 src=1007,dst=100 send(IDPS)
R38 true 100 src=100,dst=1007 drop()
R39 true 100 src=100,dst=1007 send(IDPS)
R40 true 100 src=1008,dst=100 delete(R40),delete(R41),delete(R43),send(IDPS)
R41 true 100 src=100,dst=1008 delete(R40),delete(R41),delete(R44),drop()
R42 true 100 src=1008,dst=100 send(IDPS)
R43 true 100 src=100,dst=1008 drop()
R44 true 100 src=100,dst=1008 send(IDPS)
R45 true 100 src=1009,dst=100 delete(R45),delete(R46),delete(R48),send(IDPS)
R46 true 100 src=100,dst=1009 delete(R45),delete(R46),delete(R49),drop()
R47 true 100 src=1009,dst=100 send(IDPS)
R48 true 100 src=100,dst=1009 drop()
R49 true 100 src=100,dst=1009 send(IDPS)
R50 true 100 src=1010,dst=100 delete(R50),delete(R51),delete(R53),send(IDPS)
R51 true 100 src=100,dst=1010 delete(R50),delete(R51),delete(R54),drop()
R52 true 100 src=1010,dst=100 send(IDPS)
R53 true 100 src=100,dst=1010 drop()
R54 true 100 src=100,dst=1010 send(IDPS)
R55 true 100 src=1011,dst=100 delete(R55),delete(R56),delete(R58),send(IDPS)
R56 true 100 src=100,dst=1011 delete(R55),delete(R56),delete(R59),drop()
R57 true 100 src=1011,dst=100 send(IDPS)
R58 true 100 src=100,dst=1011 drop()
R59 true 100 src=100,dst=1011 send(IDPS)
R60 true 100 src=1012,dst=100 delete(R60),delete(R61),delete(R63),send(IDPS)
R61 true 100 src=100,dst=1012 delete(R60),delete(R61),delete(R64),drop()
R62 true 100 src=1012,dst=100 send(IDPS)
R63 true 100 src=100,dst=1012 drop()
R64 true 100 src=100,dst=1012 send(IDPS)
R65 true 100 src=1013,dst=100 delete(R65),delete(R66),delete(R68),send(IDPS)
R66 true 100 src=100,dst=1013 delete(R65),delete(R66),delete(R69),drop()
R67 true 100 src=1013,dst=100 send(IDPS)
R68 true 100 src=100,dst=1013 drop()
R69 true 100 src=100,dst=1013 send(IDPS)
R70 true 100 src=1014,dst=100 delete(R70),delete(R71),delete(R73),send(IDPS)
R71 true 100 src=100,dst=1014 delete(R70),delete(R71),delete(R74),drop()
R72 true 100 src=1014,dst=100 send(IDPS)
R73 true 100 src=100,dst=1014 drop()
R74 true 100 src=100,dst=1014 send(IDPS)
R75 true 100 src=1015,dst=100 delete(R75),delete(R76),delete(R78),send(IDPS)
R76 true 100 src=100,dst=1015 delete(R75),delete(R76),delete(R79),drop()
R77 true 100 src=1015,dst=100 send(IDPS)
R78 true 100 src=100,dst=1015 drop()
R79 true 100 src=100,dst=1015 send(IDPS)
R80 true 100 src=1016,dst=100 delete(R80),delete(R81),delete(R83),send(IDPS)
R81 true 100 src=100,dst=1016 delete(R80),delete(R81),delete(R84),drop()
R82 true 100 src=1016,dst=100 send(IDPS)
R83 true 100 src=100,dst=1016 drop()
R84 true 100 src=100,dst=1016 send(IDPS)
R85 true 100 src=1017,dst=100 delete(R85),delete(R86),delete(R88),send(IDPS)
R86 true 100 src=100,dst=1017 delete(R85),delete(R86),delete(R89),drop()
R87 true 100 src=1017,dst=100 send(IDPS)
R88 true 100 src=100,dst=1017 drop()
R89 true 100 src=100,dst=1017 send(IDPS)
R90 true 100 src=1018,dst=100 delete(R90),delete(R91),delete(R93),send(IDPS)
R91 true 100 src=100,dst=1018 delete(R90),delete(R91),delete(R94),drop()
R92 true 100 src=1018,dst=100 send(IDPS)
R93 true 100 src=100,dst=1018 drop()
R94 true 100 src=100,dst=1018 send(IDPS)
R95 true 100 src=1019,dst=100 delete(R95),delete(R96),delete(R98),send(IDPS)
R96 true 100 src=100,dst=1019 delete(R95),delete(R96),delete(R99),drop()
R97 true 100 src=1019,dst=100 send(IDPS)
R98 true 100 src=100,dst=1019 drop()
R99 true 100 src=100,dst=1019 send(IDPS)
